cty,Name,Change_in_Fraction_of_College_Graduates
cty28137,"Tate County, MS",0.96483803
cty29001,"Adair County, MO",0.95805168
cty28133,"Sunflower County, MS",0.88924217
cty28131,"Stone County, MS",0.49498272
cty28123,"Scott County, MS",-0.45197487
cty28125,"Sharkey County, MS",
cty28157,"Wilkinson County, MS",
cty28163,"Yazoo County, MS",
cty29005,"Atchison County, MO",
cty29025,"Caldwell County, MO",
cty29033,"Carroll County, MO",
cty29035,"Carter County, MO",
cty29041,"Chariton County, MO",
cty29045,"Clark County, MO",
cty29051,"Cole County, MO",8.1846924
cty29117,"Livingston County, MO",7.9728985
cty29071,"Franklin County, MO",7.3595371
cty29099,"Jefferson County, MO",7.263938
cty29095,"Jackson County, MO",6.9722614
cty29145,"Newton County, MO",6.3548517
cty29135,"Moniteau County, MO",6.2890768
cty29147,"Nodaway County, MO",6.2742119
cty29077,"Greene County, MO",6.1432629
cty29063,"DeKalb County, MO",5.7433014
cty29093,"Iron County, MO",5.0001421
cty29143,"New Madrid County, MO",4.7228537
cty29083,"Henry County, MO",4.6771107
cty29097,"Jasper County, MO",4.5499668
cty29151,"Osage County, MO",4.5403399
cty29141,"Morgan County, MO",4.5393257
cty29127,"Marion County, MO",4.470396
cty29073,"Gasconade County, MO",4.4684401
cty29111,"Lewis County, MO",4.4567261
cty29059,"Dallas County, MO",4.3840036
cty29139,"Montgomery County, MO",4.2007194
cty29109,"Lawrence County, MO",4.1308517
cty29105,"Laclede County, MO",4.0969353
cty29091,"Howell County, MO",4.05585
cty29155,"Pemiscot County, MO",3.9526682
cty29123,"Madison County, MO",3.8208923
cty29131,"Miller County, MO",3.7891726
cty29107,"Lafayette County, MO",3.7541475
cty29067,"Douglas County, MO",3.7332635
cty29115,"Linn County, MO",3.5301304
cty29133,"Mississippi County, MO",3.3522491
cty29055,"Crawford County, MO",2.9776673
cty29089,"Howard County, MO",2.6924667
cty29053,"Cooper County, MO",2.5893011
cty28077,"Lawrence County, MS",0.89612579
cty28079,"Leake County, MS",-0.13824749
cty29057,"Dade County, MO",
cty29061,"Daviess County, MO",
cty29101,"Johnson County, MO",2.6934109
cty29121,"Macon County, MO",2.603549
cty29065,"Dent County, MO",2.5680127
cty29069,"Dunklin County, MO",2.4354095
cty29075,"Gentry County, MO",
cty29079,"Grundy County, MO",2.5068464
cty29081,"Harrison County, MO",
cty29085,"Hickory County, MO",
cty29087,"Holt County, MO",
cty29113,"Lincoln County, MO",2.1109018
cty29119,"McDonald County, MO",1.3882995
cty29125,"Maries County, MO",
cty29137,"Monroe County, MO",
cty29149,"Oregon County, MO",
cty29153,"Ozark County, MO",
cty29183,"St. Charles County, MO",11.440966
cty30043,"Jefferson County, MT",10.734911
cty30031,"Gallatin County, MT",10.710953
cty29165,"Platte County, MO",10.703831
cty29510,"St. Louis city, MO",10.232591
cty30001,"Beaverhead County, MT",9.7231274
cty30027,"Fergus County, MT",9.4229403
cty30063,"Missoula County, MT",9.4212551
cty29189,"St. Louis County, MO",9.2403622
cty30029,"Flathead County, MT",9.2382164
cty30023,"Deer Lodge County, MT",7.369565
cty30047,"Lake County, MT",6.727273
cty29219,"Warren County, MO",6.4403133
cty29161,"Phelps County, MO",6.2854671
cty29213,"Taney County, MO",6.177845
cty29225,"Webster County, MO",6.0166864
cty29195,"Saline County, MO",5.9042883
cty29181,"Ripley County, MO",5.6485338
cty30049,"Lewis and Clark County, MT",5.504612
cty29173,"Ralls County, MO",5.2644758
cty29209,"Stone County, MO",5.0765963
cty30013,"Cascade County, MT",4.922739
cty29186,"Ste. Genevieve County, MO",4.7840586
cty29167,"Polk County, MO",4.5757208
cty30017,"Custer County, MT",4.4861298
cty29157,"Perry County, MO",4.4380245
cty29169,"Pulaski County, MO",4.3667307
cty29187,"St. Francois County, MO",4.3379679
cty29215,"Texas County, MO",4.1297607
cty29159,"Pettis County, MO",3.0194626
cty29163,"Pike County, MO",1.6589251
cty29171,"Putnam County, MO",
cty29177,"Ray County, MO",4.0267353
cty29175,"Randolph County, MO",1.4911633
cty29179,"Reynolds County, MO",
cty29201,"Scott County, MO",3.3243237
cty29185,"St. Clair County, MO",2.830915
cty29199,"Scotland County, MO",
cty29203,"Shannon County, MO",
cty29205,"Shelby County, MO",
cty30053,"Lincoln County, MT",3.5714703
cty30035,"Glacier County, MT",2.9697676
cty29207,"Stoddard County, MO",2.8737869
cty29211,"Sullivan County, MO",
cty29229,"Wright County, MO",3.4238219
cty29223,"Wayne County, MO",2.276536
cty29217,"Vernon County, MO",1.3355274
cty29221,"Washington County, MO",1.1412306
cty30003,"Big Horn County, MT",
cty30021,"Dawson County, MT",
cty30041,"Hill County, MT",1.872673
cty30065,"Musselshell County, MT",
cty30067,"Park County, MT",
cty30077,"Powell County, MT",
cty31055,"Douglas County, NE",9.8241463
cty31025,"Cass County, NE",9.0767183
cty31013,"Box Butte County, NE",8.6038227
cty31019,"Buffalo County, NE",8.5755234
cty31081,"Hamilton County, NE",7.5791082
cty30085,"Roosevelt County, MT",6.709342
cty31001,"Adams County, NE",6.6631823
cty31041,"Custer County, NE",6.2154131
cty30111,"Yellowstone County, MT",6.2152729
cty31067,"Gage County, NE",6.1244307
cty30081,"Ravalli County, MT",5.0922146
cty31053,"Dodge County, NE",4.615737
cty31047,"Dawson County, NE",2.6188679
cty30083,"Richland County, MT",1.9427605
cty30087,"Rosebud County, MT",
cty30093,"Silver Bow County, MT",4.4685421
cty30089,"Sanders County, MT",0.40065575
cty30101,"Toole County, MT",
cty30105,"Valley County, MT",
cty31003,"Antelope County, NE",
cty31011,"Boone County, NE",
cty31021,"Burt County, NE",
cty31023,"Butler County, NE",
cty31027,"Cedar County, NE",
cty31031,"Cherry County, NE",
cty31033,"Cheyenne County, NE",11.080537
cty31035,"Clay County, NE",
cty31131,"Otoe County, NE",7.74125
cty31109,"Lancaster County, NE",7.4509506
cty31111,"Lincoln County, NE",4.4650507
cty31119,"Madison County, NE",4.4339418
cty31145,"Red Willow County, NE",4.0567169
cty31089,"Holt County, NE",3.9690895
cty31079,"Hall County, NE",2.1324463
cty31037,"Colfax County, NE",1.6934786
cty31039,"Cuming County, NE",
cty31043,"Dakota County, NE",2.0796337
cty31045,"Dawes County, NE",
cty31093,"Howard County, NE",
cty31095,"Jefferson County, NE",
cty31099,"Kearney County, NE",
cty31101,"Keith County, NE",
cty31107,"Knox County, NE",
cty31121,"Merrick County, NE",
cty31127,"Nemaha County, NE",
cty31137,"Phelps County, NE",
cty31139,"Pierce County, NE",
cty31141,"Platte County, NE",5.7603016
cty31147,"Richardson County, NE",
cty34017,"Hudson County, NJ",13.699486
cty31177,"Washington County, NE",13.444142
cty34019,"Hunterdon County, NJ",13.360817
cty34003,"Bergen County, NJ",12.47617
cty31159,"Seward County, NE",11.76013
cty34027,"Morris County, NJ",11.427563
cty31155,"Saunders County, NE",11.20052
cty34035,"Somerset County, NJ",10.971729
cty34023,"Middlesex County, NJ",10.953024
cty33015,"Rockingham County, NH",10.033867
cty34009,"Cape May County, NJ",9.9190941
cty31153,"Sarpy County, NE",9.5631199
cty34005,"Burlington County, NJ",9.3783932
cty34015,"Gloucester County, NJ",8.444416
cty33019,"Sullivan County, NH",8.3789406
cty32003,"Clark County, NV",7.4994946
cty31185,"York County, NE",6.3546572
cty31179,"Wayne County, NE",6.1767712
cty31157,"Scotts Bluff County, NE",4.8314524
cty31151,"Saline County, NE",3.190423
cty31161,"Sheridan County, NE",
cty31167,"Stanton County, NE",
cty31169,"Thayer County, NE",
cty31173,"Thurston County, NE",
cty34025,"Monmouth County, NJ",10.353014
cty34021,"Mercer County, NJ",9.1922054
cty34029,"Ocean County, NJ",8.8346682
cty33009,"Grafton County, NH",8.1837883
cty33017,"Strafford County, NH",7.7585583
cty33011,"Hillsborough County, NH",7.7478161
cty33013,"Merrimack County, NH",7.5945797
cty34001,"Atlantic County, NJ",7.3736629
cty34013,"Essex County, NJ",6.721529
cty33003,"Carroll County, NH",6.5424194
cty34007,"Camden County, NJ",6.5074348
cty34033,"Salem County, NJ",6.1238346
cty33005,"Cheshire County, NH",5.9669685
cty32031,"Washoe County, NV",5.7550526
cty33007,"Coos County, NH",5.7363319
cty32005,"Douglas County, NV",5.6593571
cty34031,"Passaic County, NJ",5.5634975
cty33001,"Belknap County, NH",5.2430439
cty32001,"Churchill County, NV",5.1173077
cty32510,"Carson City, NV",5.0403519
cty34011,"Cumberland County, NJ",2.5731144
cty32019,"Lyon County, NV",2.4385347
cty32007,"Elko County, NV",2.3539009
cty32013,"Humboldt County, NV",1.535162
cty32023,"Nye County, NV",-0.54603577
cty32033,"White Pine County, NV",
cty35055,"Taos County, NM",11.02882
cty35028,"Los Alamos County, NM",10.003098
cty36031,"Essex County, NY",9.9902754
cty35051,"Sierra County, NM",9.1006203
cty36021,"Columbia County, NY",9.0920506
cty36029,"Erie County, NY",8.5317917
cty35043,"Sandoval County, NM",8.5013046
cty35027,"Lincoln County, NM",8.473938
cty34041,"Warren County, NJ",8.381815
cty36001,"Albany County, NY",8.2454548
cty36027,"Dutchess County, NY",6.5723495
cty35049,"Santa Fe County, NM",6.467392
cty34039,"Union County, NJ",6.3682728
cty36023,"Cortland County, NY",6.164032
cty35017,"Grant County, NM",6.0396824
cty36019,"Clinton County, NY",5.8978558
cty35047,"San Miguel County, NM",5.8747482
cty36039,"Greene County, NY",5.7797356
cty34037,"Sussex County, NJ",5.7272148
cty36013,"Chautauqua County, NY",5.5638857
cty35007,"Colfax County, NM",5.4851809
cty35039,"Rio Arriba County, NM",5.4479856
cty36005,"Bronx County, NY",5.3532791
cty36011,"Cayuga County, NY",5.2197294
cty36015,"Chemung County, NY",5.1345215
cty36025,"Delaware County, NY",5.0248528
cty36007,"Broome County, NY",4.9981842
cty36009,"Cattaraugus County, NY",4.9719868
cty35001,"Bernalillo County, NM",4.8819199
cty35061,"Valencia County, NM",4.7494278
cty35009,"Curry County, NM",4.6079197
cty36033,"Franklin County, NY",4.5442486
cty35015,"Eddy County, NM",4.3739834
cty36037,"Genesee County, NY",4.1180344
cty36035,"Fulton County, NY",3.1699152
cty35013,"Do±íáüna County, NM",3.1280212
cty35041,"Roosevelt County, NM",2.2405758
cty35045,"San Juan County, NM",1.9261274
cty35006,"Cibola County, NM",1.6297522
cty35005,"Chaves County, NM",1.0926352
cty35023,"Hidalgo County, NM",
cty35053,"Socorro County, NM",4.5473614
cty36017,"Chenango County, NY",4.1036539
cty36003,"Allegany County, NY",3.9061136
cty35057,"Torrance County, NM",1.4913082
cty35025,"Lea County, NM",0.94995022
cty35035,"Otero County, NM",0.89287949
cty35031,"McKinley County, NM",0.11449528
cty35029,"Luna County, NM",-0.013902664
cty35037,"Quay County, NM",
cty35059,"Union County, NM",
cty37129,"New Hanover County, NC",14.276409
cty37037,"Chatham County, NC",14.236759
cty37179,"Union County, NC",13.554996
cty39159,"Union County, OH",13.335361
cty44005,"Newport County, RI",13.178442
cty37183,"Wake County, NC",12.267128
cty37119,"Mecklenburg County, NC",12.158226
cty44009,"Washington County, RI",11.813677
cty36047,"Kings County, NY",11.717928
cty37021,"Buncombe County, NC",11.526682
cty37175,"Transylvania County, NC",10.956774
cty37019,"Brunswick County, NC",10.813583
cty38003,"Barnes County, ND",10.737088
cty37055,"Dare County, NC",10.605202
cty37063,"Durham County, NC",10.556244
cty36059,"Nassau County, NY",10.375156
cty36069,"Ontario County, NY",10.277309
cty45013,"Beaufort County, SC",10.13694
cty37025,"Cabarrus County, NC",9.8580456
cty37011,"Avery County, NC",9.4639769
cty37029,"Camden County, NC",9.4042978
cty37173,"Swain County, NC",9.0892963
cty36119,"Westchester County, NY",9.0745354
cty39153,"Summit County, OH",9.0188446
cty36079,"Putnam County, NY",8.9773846
cty36091,"Saratoga County, NY",8.8995285
cty45079,"Richland County, SC",8.6008663
cty36103,"Suffolk County, NY",8.5499439
cty37097,"Iredell County, NC",8.5439014
cty38089,"Stark County, ND",8.4545317
cty37009,"Ashe County, NC",8.3904152
cty45091,"York County, SC",8.3682117
cty45017,"Calhoun County, SC",8.3560944
cty36081,"Queens County, NY",8.196085
cty36055,"Monroe County, NY",8.1441517
cty45045,"Greenville County, SC",8.1239643
cty38017,"Cass County, ND",8.1131954
cty37115,"Madison County, NC",8.0497913
cty37125,"Moore County, NC",7.9502773
cty39137,"Putnam County, OH",7.8988657
cty37031,"Carteret County, NC",7.8401909
cty45065,"McCormick County, SC",7.7745023
cty37101,"Johnston County, NC",7.6943254
cty45073,"Oconee County, SC",7.6332006
cty37135,"Orange County, NC",7.5924683
cty40017,"Canadian County, OK",7.5873909
cty37087,"Haywood County, NC",7.5399551
cty37005,"Alleghany County, NC",7.5373583
cty37189,"Watauga County, NC",7.5368805
cty38059,"Morton County, ND",7.4991245
cty37043,"Clay County, NC",7.4842958
cty37081,"Guilford County, NC",7.4386711
cty36117,"Wayne County, NY",7.4326429
cty36123,"Yates County, NY",7.2934828
cty36071,"Orange County, NY",7.2904186
cty36111,"Ulster County, NY",7.2615471
cty36087,"Rockland County, NY",7.1573906
cty37053,"Currituck County, NC",7.1386232
cty36067,"Onondaga County, NY",7.1251926
cty36085,"Richmond County, NY",7.1243858
cty39117,"Morrow County, OH",7.0939674
cty38077,"Richland County, ND",6.9821472
cty36109,"Tompkins County, NY",6.9788055
cty36083,"Rensselaer County, NY",6.8812046
cty37039,"Cherokee County, NC",6.8602819
cty37147,"Pitt County, NC",6.7860699
cty44007,"Providence County, RI",6.7494659
cty38015,"Burleigh County, ND",6.7187767
cty37059,"Davie County, NC",6.7138309
cty37067,"Forsyth County, NC",6.6972122
cty38101,"Ward County, ND",6.6582108
cty37109,"Lincoln County, NC",6.5678596
cty37099,"Jackson County, NC",6.5214481
cty37013,"Beaufort County, NC",6.5192614
cty37049,"Craven County, NC",6.512042
cty45055,"Kershaw County, SC",6.4994307
cty37085,"Harnett County, NC",6.4915972
cty37089,"Henderson County, NC",6.4811745
cty38071,"Ramsey County, ND",6.4551888
cty37071,"Gaston County, NC",6.4344635
cty37143,"Perquimans County, NC",6.4151678
cty45043,"Georgetown County, SC",6.4052668
cty39133,"Portage County, OH",6.3999977
cty36105,"Sullivan County, NY",6.3959675
cty37001,"Alamance County, NC",6.3701162
cty38079,"Rolette County, ND",6.3161879
cty37113,"Macon County, NC",6.3054514
cty37149,"Polk County, NC",6.2801781
cty36093,"Schenectady County, NY",6.2635212
cty45071,"Newberry County, SC",6.2487535
cty39147,"Seneca County, OH",6.2405233
cty36077,"Otsego County, NY",6.1883144
cty36113,"Warren County, NY",6.177084
cty38093,"Stutsman County, ND",6.1336842
cty38035,"Grand Forks County, ND",5.9382401
cty39173,"Wood County, OH",5.8789711
cty37185,"Warren County, NC",5.8364644
cty37167,"Stanly County, NC",5.8356152
cty45041,"Florence County, SC",5.8264914
cty37145,"Person County, NC",5.8052082
cty37199,"Yancey County, NC",5.7564707
cty39107,"Mercer County, OH",5.7219343
cty39001,"Adams County, OH",5.6774311
cty45003,"Aiken County, SC",5.639719
cty36045,"Jefferson County, NY",5.5766001
cty36115,"Washington County, NY",5.5746326
cty36063,"Niagara County, NY",5.5459833
cty39123,"Ottawa County, OH",5.5237885
cty37123,"Montgomery County, NC",5.4996152
cty37093,"Hoke County, NC",5.4301338
cty37057,"Davidson County, NC",5.3909245
cty45001,"Abbeville County, SC",5.3806286
cty39109,"Miami County, OH",5.3664856
cty37121,"Mitchell County, NC",5.3595142
cty39151,"Stark County, OH",5.3220453
cty39161,"Van Wert County, OH",5.2609615
cty36043,"Herkimer County, NY",5.2531404
cty37127,"Nash County, NC",5.2221899
cty37111,"McDowell County, NC",5.1320066
cty37069,"Franklin County, NC",5.0982389
cty39131,"Pike County, OH",5.0970535
cty36101,"Steuben County, NY",5.0685568
cty37171,"Surry County, NC",4.9345541
cty37141,"Pender County, NC",4.9099331
cty36053,"Madison County, NY",4.8682384
cty37035,"Catawba County, NC",4.8545179
cty37139,"Pasquotank County, NC",4.8343277
cty39169,"Wayne County, OH",4.8130579
cty36057,"Montgomery County, NY",4.8065405
cty37045,"Cleveland County, NC",4.7490702
cty37159,"Rowan County, NC",4.6755238
cty39175,"Wyandot County, OH",4.6727018
cty36121,"Wyoming County, NY",4.6515331
cty37161,"Rutherford County, NC",4.6220837
cty37033,"Caswell County, NC",4.6142888
cty37051,"Cumberland County, NC",4.6074753
cty39145,"Scioto County, OH",4.5934172
cty36095,"Schoharie County, NY",4.5264883
cty39157,"Tuscarawas County, OH",4.4704762
cty39155,"Trumbull County, OH",4.4030695
cty37163,"Sampson County, NC",4.3236628
cty36099,"Seneca County, NY",4.3132114
cty39129,"Pickaway County, OH",4.312623
cty36107,"Tioga County, NY",4.3082504
cty37091,"Hertford County, NC",4.2008257
cty40023,"Choctaw County, OK",4.1634431
cty36065,"Oneida County, NY",4.1544209
cty40027,"Cleveland County, OK",4.1524467
cty36051,"Livingston County, NY",4.1141033
cty37131,"Northampton County, NC",4.0565653
cty38105,"Williams County, ND",4.0250206
cty39135,"Preble County, OH",4.0236607
cty39121,"Noble County, OH",3.9874511
cty37023,"Burke County, NC",3.9261236
cty40019,"Carter County, OK",3.9073133
cty37017,"Bladen County, NC",3.9036837
cty37105,"Lee County, NC",3.8872976
cty37077,"Granville County, NC",3.842576
cty39113,"Montgomery County, OH",3.8223038
cty36049,"Lewis County, NY",3.8135662
cty36061,"New York County, NY",
cty37003,"Alexander County, NC",4.3130717
cty40013,"Bryan County, OK",3.7927933
cty40009,"Beckham County, OK",3.7822456
cty37151,"Randolph County, NC",3.740839
cty37027,"Caldwell County, NC",3.7364788
cty39119,"Muskingum County, OH",3.7058325
cty37191,"Wayne County, NC",3.7050123
cty37137,"Pamlico County, NC",3.693119
cty36073,"Orleans County, NY",3.6920147
cty37157,"Rockingham County, NC",3.6596088
cty37169,"Stokes County, NC",3.5514722
cty37197,"Yadkin County, NC",3.5213103
cty36097,"Schuyler County, NY",3.3888073
cty37133,"Onslow County, NC",3.3638983
cty37061,"Duplin County, NC",3.2910404
cty37193,"Wilkes County, NC",3.2724466
cty37041,"Chowan County, NC",3.2628212
cty37153,"Richmond County, NC",3.2571378
cty40005,"Atoka County, OK",3.2553444
cty39149,"Shelby County, OH",3.1940737
cty38099,"Walsh County, ND",3.1893673
cty36089,"St. Lawrence County, NY",3.1740541
cty37083,"Halifax County, NC",3.1556759
cty39127,"Perry County, OH",3.0932703
cty39171,"Williams County, OH",2.9936066
cty39139,"Richland County, OH",2.9224129
cty39141,"Ross County, OH",2.9061918
cty39125,"Paulding County, OH",2.8419495
cty37187,"Washington County, NC",2.7769318
cty39105,"Meigs County, OH",2.7081909
cty37195,"Wilson County, NC",2.688695
cty39167,"Washington County, OH",2.6370707
cty39163,"Vinton County, OH",2.5923238
cty37117,"Martin County, NC",2.5281296
cty40021,"Cherokee County, OK",2.4814968
cty39111,"Monroe County, OH",2.4801426
cty39143,"Sandusky County, OH",2.4296789
cty36075,"Oswego County, NY",2.4268122
cty37107,"Lenoir County, NC",2.4010029
cty37047,"Columbus County, NC",2.354413
cty37103,"Jones County, NC",2.2586231
cty37079,"Greene County, NC",2.2352142
cty39115,"Morgan County, OH",2.1257696
cty37181,"Vance County, NC",1.9979801
cty37065,"Edgecombe County, NC",1.7884836
cty37155,"Robeson County, NC",1.7035389
cty37015,"Bertie County, NC",1.514267
cty37165,"Scotland County, NC",1.5061798
cty38009,"Bottineau County, ND",
cty38097,"Traill County, ND",
cty39103,"Medina County, OH",10.427053
cty39025,"Clermont County, OH",9.3664312
cty39089,"Licking County, OH",8.6922283
cty39049,"Franklin County, OH",8.4583588
cty39061,"Hamilton County, OH",8.0069218
cty39045,"Fairfield County, OH",7.7470102
cty39055,"Geauga County, OH",7.6942902
cty39057,"Greene County, OH",7.3920822
cty39093,"Lorain County, OH",7.3797493
cty39035,"Cuyahoga County, OH",7.3371983
cty39097,"Madison County, OH",6.768281
cty39085,"Lake County, OH",6.4056892
cty39043,"Erie County, OH",5.8474407
cty39099,"Mahoning County, OH",5.6310778
cty39017,"Butler County, OH",5.6113491
cty39081,"Jefferson County, OH",5.2622271
cty39047,"Fayette County, OH",5.2259302
cty39063,"Hancock County, OH",5.2032509
cty39083,"Knox County, OH",5.0776501
cty39011,"Auglaize County, OH",5.0336733
cty39087,"Lawrence County, OH",4.9804325
cty39095,"Lucas County, OH",4.8154049
cty39091,"Logan County, OH",4.6921177
cty39021,"Champaign County, OH",4.5961742
cty39013,"Belmont County, OH",4.3870869
cty39003,"Allen County, OH",4.3850498
cty39019,"Carroll County, OH",4.1210227
cty39005,"Ashland County, OH",4.051672
cty39007,"Ashtabula County, OH",4.0226002
cty39023,"Clark County, OH",3.822669
cty39079,"Jackson County, OH",3.4875445
cty39031,"Coshocton County, OH",3.2960119
cty39029,"Columbiana County, OH",3.2872419
cty39051,"Fulton County, OH",3.2028103
cty39065,"Hardin County, OH",3.1759129
cty39027,"Clinton County, OH",3.0362101
cty39053,"Gallia County, OH",2.8021679
cty39039,"Defiance County, OH",2.5909586
cty39073,"Hocking County, OH",2.5727053
cty39075,"Holmes County, OH",2.4809089
cty39101,"Marion County, OH",2.4345455
cty39069,"Henry County, OH",2.3937006
cty39059,"Guernsey County, OH",2.1639166
cty39071,"Highland County, OH",2.0622168
cty39077,"Huron County, OH",2.0595942
cty39037,"Darke County, OH",1.8708944
cty39015,"Brown County, OH",1.8285985
cty39009,"Athens County, OH",1.8235703
cty39033,"Crawford County, OH",1.6494865
cty39041,"Delaware County, OH",
cty39067,"Harrison County, OH",1.3493266
cty37007,"Anson County, NC",-0.12602091
cty39165,"Warren County, OH",
cty40035,"Craig County, OK",2.2420568
cty40015,"Caddo County, OK",1.7156334
cty40031,"Comanche County, OK",1.7044945
cty40001,"Adair County, OK",0.89483833
cty40011,"Blaine County, OK",
cty40029,"Coal County, OK",
cty40033,"Cotton County, OK",
cty40145,"Wagoner County, OK",7.7395229
cty40131,"Rogers County, OK",7.3429823
cty40123,"Pontotoc County, OK",6.8961906
cty40103,"Noble County, OK",6.0514393
cty40083,"Logan County, OK",6.0441732
cty40109,"Oklahoma County, OK",5.8981094
cty40127,"Pushmataha County, OK",5.8714952
cty40143,"Tulsa County, OK",5.4001884
cty40121,"Pittsburg County, OK",5.3947678
cty40061,"Haskell County, OK",5.1178212
cty40095,"Marshall County, OK",5.1143465
cty40111,"Okmulgee County, OK",4.9531908
cty40063,"Hughes County, OK",4.8713346
cty40087,"McClain County, OK",4.8616495
cty40113,"Osage County, OK",4.7274122
cty40041,"Delaware County, OK",4.4749422
cty40105,"Nowata County, OK",4.4031429
cty40117,"Pawnee County, OK",4.3342628
cty40049,"Garvin County, OK",4.2963858
cty40149,"Washita County, OK",4.1692476
cty40051,"Grady County, OK",4.1414862
cty40125,"Pottawatomie County, OK",4.1153936
cty40047,"Garfield County, OK",4.0933266
cty40133,"Seminole County, OK",4.0006561
cty40037,"Creek County, OK",3.8607969
cty40069,"Johnston County, OK",3.8392448
cty40081,"Lincoln County, OK",3.4090757
cty40065,"Jackson County, OK",3.4052582
cty40101,"Muskogee County, OK",2.9947834
cty40039,"Custer County, OK",2.3381729
cty40055,"Greer County, OK",
cty40067,"Jefferson County, OK",
cty40135,"Sequoyah County, OK",3.0596828
cty40107,"Okfuskee County, OK",2.8417292
cty40073,"Kingfisher County, OK",2.8237467
cty40089,"McCurtain County, OK",2.8228703
cty40139,"Texas County, OK",2.8114634
cty40115,"Ottawa County, OK",2.5807028
cty40119,"Payne County, OK",2.388937
cty40085,"Love County, OK",2.0026493
cty40079,"Le Flore County, OK",1.6655807
cty40137,"Stephens County, OK",1.4879122
cty40077,"Latimer County, OK",1.3241501
cty40097,"Mayes County, OK",0.92239475
cty40091,"McIntosh County, OK",0.45744514
cty40071,"Kay County, OK",0.38199806
cty40075,"Kiowa County, OK",
cty40093,"Major County, OK",
cty40099,"Murray County, OK",-0.059502602
cty40141,"Tillman County, OK",
cty40147,"Washington County, OK",-0.51320267
cty40151,"Woods County, OK",
cty41051,"Multnomah County, OR",13.26631
cty42019,"Butler County, PA",12.307087
cty42029,"Chester County, PA",12.17577
cty42003,"Allegheny County, PA",10.841379
cty41017,"Deschutes County, OR",10.035954
cty42017,"Bucks County, PA",9.2461166
cty41027,"Hood River County, OR",9.2128506
cty41067,"Washington County, OR",8.1264896
cty41005,"Clackamas County, OR",7.8388748
cty42007,"Beaver County, PA",6.964263
cty41029,"Jackson County, OR",6.8662548
cty42013,"Blair County, PA",6.7609339
cty41065,"Wasco County, OR",6.6929636
cty41057,"Tillamook County, OR",6.4841185
cty41041,"Lincoln County, OR",6.4769382
cty42011,"Berks County, PA",6.4186373
cty41003,"Benton County, OR",6.3806686
cty41001,"Baker County, OR",6.2692776
cty42027,"Centre County, PA",6.0708199
cty41009,"Columbia County, OR",5.9348736
cty41035,"Klamath County, OR",5.933321
cty42021,"Cambria County, PA",5.9227839
cty41071,"Yamhill County, OR",5.8935204
cty41013,"Crook County, OR",5.6906834
cty42005,"Armstrong County, PA",5.6320353
cty42001,"Adams County, PA",5.5397663
cty41015,"Curry County, OR",5.5042067
cty42025,"Carbon County, PA",5.4159203
cty41007,"Clatsop County, OR",5.3532543
cty41011,"Coos County, OR",5.3156796
cty41039,"Lane County, OR",5.0670185
cty41043,"Linn County, OR",4.6806927
cty42031,"Clarion County, PA",4.580205
cty41033,"Josephine County, OR",4.1695509
cty40153,"Woodward County, OK",3.4934254
cty41019,"Douglas County, OR",3.3065252
cty41023,"Grant County, OR",
cty41025,"Harney County, OR",
cty41061,"Union County, OR",3.418951
cty41047,"Marion County, OR",3.043869
cty41031,"Jefferson County, OR",1.9558048
cty41037,"Lake County, OR",
cty41053,"Polk County, OR",5.0697289
cty42009,"Bedford County, PA",4.5639772
cty42015,"Bradford County, PA",2.7250443
cty41059,"Umatilla County, OR",2.2363644
cty41049,"Morrow County, OR",-0.33779049
cty41045,"Malheur County, OR",-0.42440987
cty41063,"Wallowa County, OR",
cty42023,"Cameron County, PA",
cty44001,"Bristol County, RI",13.034258
cty42091,"Montgomery County, PA",11.574955
cty42125,"Washington County, PA",10.234694
cty42045,"Delaware County, PA",9.6899567
cty42095,"Northampton County, PA",8.9915543
cty42069,"Lackawanna County, PA",8.7089205
cty42041,"Cumberland County, PA",8.6645355
cty42103,"Pike County, PA",8.6545601
cty44003,"Kent County, RI",8.444212
cty42043,"Dauphin County, PA",7.9791718
cty42129,"Westmoreland County, PA",7.887496
cty42077,"Lehigh County, PA",7.35116
cty42049,"Erie County, PA",7.2465496
cty42133,"York County, PA",7.1316938
cty42079,"Luzerne County, PA",6.964325
cty42101,"Philadelphia County, PA",6.8594017
cty42093,"Montour County, PA",6.7584896
cty42071,"Lancaster County, PA",6.5645618
cty42073,"Lawrence County, PA",6.4279947
cty42081,"Lycoming County, PA",6.1282244
cty42047,"Elk County, PA",6.1060905
cty42075,"Lebanon County, PA",6.0568218
cty42127,"Wayne County, PA",5.9446697
cty42089,"Monroe County, PA",5.6886787
cty42039,"Crawford County, PA",5.494133
cty42107,"Schuylkill County, PA",5.3778639
cty42111,"Somerset County, PA",5.3087502
cty42123,"Warren County, PA",5.2355051
cty42037,"Columbia County, PA",5.1738253
cty42117,"Tioga County, PA",5.1687574
cty42055,"Franklin County, PA",5.0610352
cty42097,"Northumberland County, PA",4.9200306
cty42085,"Mercer County, PA",4.9098892
cty42035,"Clinton County, PA",4.8324575
cty42109,"Snyder County, PA",4.4362488
cty42099,"Perry County, PA",4.2247753
cty42119,"Union County, PA",4.1618862
cty42051,"Fayette County, PA",4.0792303
cty42115,"Susquehanna County, PA",4.0750256
cty42063,"Indiana County, PA",3.923502
cty42033,"Clearfield County, PA",3.8765078
cty42083,"McKean County, PA",3.6346798
