cty,Name,Change_in_Poverty_Rate
cty08005,"Arapahoe County, CO",5.2885656
cty06103,"Tehama County, CA",4.4376822
cty12043,"Glades County, FL",3.4681273
cty12061,"Indian River County, FL",3.4132233
cty09009,"New Haven County, CT",2.8127384
cty08003,"Alamosa County, CO",2.7519379
cty06095,"Solano County, CA",2.4036384
cty10003,"New Castle County, DE",2.3320026
cty12003,"Baker County, FL",2.2927513
cty09015,"Windham County, CT",2.251585
cty09003,"Hartford County, CT",2.2367592
cty06097,"Sonoma County, CA",1.9865046
cty06087,"Santa Cruz County, CA",1.9842806
cty12015,"Charlotte County, FL",1.9659357
cty09013,"Tolland County, CT",1.9586554
cty09007,"Middlesex County, CT",1.8787613
cty08037,"Eagle County, CO",1.8501687
cty08069,"Larimer County, CO",1.7732954
cty06111,"Ventura County, CA",1.7643704
cty12013,"Calhoun County, FL",1.7402515
cty12035,"Flagler County, FL",1.7217522
cty06089,"Shasta County, CA",1.6297712
cty08081,"Moffat County, CO",1.6222143
cty08099,"Prowers County, CO",1.5712833
cty12011,"Broward County, FL",1.50949
cty12027,"DeSoto County, FL",1.4783287
cty09001,"Fairfield County, CT",1.4413362
cty11001,"District of Columbia, DC",1.4200668
cty06093,"Siskiyou County, CA",1.4133797
cty09005,"Litchfield County, CT",1.3606958
cty06109,"Tuolumne County, CA",1.2664452
cty12055,"Highlands County, FL",1.1595592
cty12019,"Clay County, FL",1.1531987
cty06085,"Santa Clara County, CA",1.0635934
cty12017,"Citrus County, FL",1.0557499
cty06083,"Santa Barbara County, CA",1.047226
cty10001,"Kent County, DE",1.0352154
cty06099,"Stanislaus County, CA",1.0179348
cty06081,"San Mateo County, CA",0.88849926
cty12009,"Brevard County, FL",0.71581173
cty08031,"Denver County, CO",0.6604538
cty12001,"Alachua County, FL",0.61318398
cty12031,"Duval County, FL",0.50546837
cty12045,"Gulf County, FL",0.38135719
cty09011,"New London County, CT",0.35378981
cty12021,"Collier County, FL",0.27790356
cty10005,"Sussex County, DE",0.21407509
cty12057,"Hillsborough County, FL",0.17047405
cty12049,"Hardee County, FL",0.10377884
cty12053,"Hernando County, FL",0.099518776
cty08041,"El Paso County, CO",0.072281837
cty06107,"Tulare County, CA",-0.031129837
cty12007,"Bradford County, FL",-0.15612316
cty06113,"Yolo County, CA",-0.2550621
cty08043,"Fremont County, CO",-0.3090601
cty08035,"Douglas County, CO",-0.33883357
cty08045,"Garfield County, CO",-1.2227201
cty12063,"Jackson County, FL",-1.4171772
cty12033,"Escambia County, FL",-1.4936132
cty08007,"Archuleta County, CO",-1.6472425
